Employee_ID,Age,Gender,Department,Job_Role,Experience,Education,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Joining_Date,Attrition,City,Employment_Type,Manager_Rating,Sick_Leaves,Attrition_Flag,Salary_Thousands
25,32.0,Female,Sales,Sales Executive,1,PhD,43960.0,5,5.0,Yes,36,Yes,52,2,No,2016-08-23,No,Rawalpindi,Full-Time,6,9,0,43.96
26,23.0,Male,Finance,Financial Analyst,0,PhD,69302.0,3,6.0,No,40,Yes,20,2,No,2012-12-26,No,Rawalpindi,Full-Time,5,11,0,69.302
27,52.0,Female,HR,Data Analyst,28,Master,244376.0,2,8.0,No,55,No,62,10,No,2013-01-16,No,Rawalpindi,Contract,8,4,0,244.376
28,48.0,Female,IT,DevOps Engineer,7,Master,143938.0,3,7.0,Yes,37,Yes,78,9,No,2024-04-22,No,Islamabad,Full-Time,9,9,0,143.938
29,57.0,Male,IT,DevOps Engineer,12,PhD,224743.0,4,4.0,Yes,35,Yes,7,11,Yes,2020-08-25,No,Faisalabad,Full-Time,8,8,0,224.743
30,27.0,Female,Marketing,SEO Executive,3,PhD,98245.0,3,9.0,No,40,Yes,72,3,No,2023-09-14,No,Karachi,Contract,7,10,0,98.245
31,29.0,Male,Finance,Accountant,8,Bachelor,352095.375,1,7.0,No,44,Yes,12,8,No,2022-07-17,No,Islamabad,Full-Time,5,10,0,352.095375
32,25.0,Female,IT,DevOps Engineer,3,Bachelor,83527.0,3,6.0,Yes,38,Yes,35,5,No,2019-08-21,No,Islamabad,Full-Time,7,7,0,83.527
33,29.0,Female,Marketing,SEO Executive,0,Master,42144.0,1,4.0,Yes,55,Yes,39,2,No,2026-03-11,No,Rawalpindi,Contract,7,3,0,42.144
34,58.0,Female,HR,Recruiter,28,Bachelor,168660.0,5,9.0,No,42,No,10,13,No,2017-04-09,No,Peshawar,Full-Time,5,0,0,168.66
35,25.0,Female,HR,HR Executive,2,PhD,51515.0,2,8.0,No,51,Yes,25,3,No,2019-11-16,No,Islamabad,Contract,8,2,0,51.515
36,29.0,Male,IT,Data Analyst,8,Master,140006.0,3,8.0,No,45,No,39,10,No,2024-01-14,No,Rawalpindi,Full-Time,9,7,0,140.006
37,51.0,Female,Finance,Accountant,0,PhD,59948.0,1,6.0,No,40,No,55,2,No,2020-11-14,No,Lahore,Full-Time,4,2,0,59.948
38,50.0,Male,Marketing,Marketing Specialist,11,Master,200692.0,1,7.0,No,49,Yes,61,10,No,2024-07-09,No,Faisalabad,Contract,4,0,0,200.692
39,44.0,Male,IT,Data Analyst,2,PhD,66490.0,2,10.0,No,50,Yes,40,3,No,2020-04-03,No,Peshawar,Contract,5,15,0,66.49
40,34.0,Female,HR,HR Executive,1,Master,45586.0,2,8.0,Yes,53,Yes,80,3,No,2022-03-01,No,Faisalabad,Contract,9,4,0,45.586
41,38.0,Male,IT,Software Engineer,16,PhD,238864.0,5,8.0,No,43,Yes,59,8,No,2012-04-13,No,Islamabad,Full-Time,8,1,0,238.864
42,29.0,Female,Sales,Sales Manager,7,Master,147265.0,1,7.0,No,48,No,5,7,No,2015-01-05,No,Faisalabad,Full-Time,6,12,0,147.265
43,58.0,Male,Finance,Accountant,14,PhD,182765.0,2,6.0,Yes,44,Yes,8,11,No,2015-12-08,No,Rawalpindi,Full-Time,6,15,0,182.765
44,43.0,Female,IT,DevOps Engineer,7,Bachelor,122334.0,3,7.0,Yes,42,No,17,6,No,2012-10-16,No,Rawalpindi,Full-Time,8,14,0,122.334
45,25.0,Male,IT,Software Engineer,3,Master,95645.0,1,3.0,Yes,49,No,60,4,No,2015-02-01,No,Peshawar,Full-Time,10,2,0,95.645
46,25.0,Female,IT,DevOps Engineer,3,Master,77638.0,4,9.0,No,49,Yes,48,3,No,2013-02-09,No,Karachi,Contract,7,0,0,77.638
47,28.0,Male,Marketing,Marketing Specialist,0,PhD,59427.0,5,10.0,No,55,No,58,1,No,2015-10-07,No,Peshawar,Full-Time,5,15,0,59.427
48,30.0,Male,HR,HR Executive,0,Bachelor,56814.0,3,7.0,Yes,53,Yes,65,3,No,2021-02-16,No,Islamabad,Contract,6,9,0,56.814
49,45.0,Male,Finance,Financial Analyst,16,PhD,157512.0,5,4.0,Yes,52,No,49,11,Yes,2017-01-24,Yes,Peshawar,Full-Time,10,6,1,157.512
50,52.0,Female,Finance,Accountant,21,PhD,230753.0,4,4.0,Yes,40,No,10,12,Yes,2017-02-23,No,Faisalabad,Contract,6,15,0,230.753
51,51.0,Male,HR,HR Executive,7,Master,148501.0,2,5.0,Yes,40,No,6,9,No,2014-09-26,No,Peshawar,Contract,7,2,0,148.501
52,29.0,Male,IT,DevOps Engineer,4,Master,71438.0,2,5.0,Yes,44,Yes,38,3,No,2015-08-07,No,Lahore,Contract,5,5,0,71.438
53,33.0,Male,Marketing,Marketing Specialist,0,Bachelor,40687.0,2,6.0,Yes,55,No,31,3,No,2025-08-23,No,Islamabad,Full-Time,7,9,0,40.687
54,45.0,Male,HR,Recruiter,16,PhD,165531.0,2,7.0,Yes,41,No,52,10,No,2021-04-25,No,Rawalpindi,Full-Time,10,10,0,165.531
55,24.0,Male,Sales,Sales Executive,2,Bachelor,41745.0,3,10.0,No,39,Yes,15,3,No,2020-09-24,No,Islamabad,Full-Time,10,15,0,41.745
56,54.0,Female,IT,Software Engineer,32,Master,352095.375,3,10.0,No,50,No,39,13,No,2014-02-28,No,Rawalpindi,Contract,8,12,0,352.095375
57,36.0,Male,IT,Software Engineer,14,Bachelor,190107.0,4,7.0,No,40,No,75,14,Yes,2022-07-13,No,Rawalpindi,Full-Time,8,2,0,190.107
58,55.0,Female,Finance,Financial Analyst,14,PhD,217143.0,4,8.0,No,49,No,52,13,No,2014-01-17,No,Karachi,Contract,7,15,0,217.143
59,33.0,Female,Sales,Sales Executive,3,Master,81766.0,3,3.0,Yes,51,No,34,3,No,2017-04-15,Yes,Peshawar,Full-Time,10,3,1,81.766
60,56.0,Male,Finance,Accountant,21,Bachelor,182771.0,3,5.0,Yes,54,No,6,12,No,2026-06-09,No,Peshawar,Contract,5,9,0,182.771
61,47.0,Male,Finance,Financial Analyst,15,PhD,202101.0,2,9.0,No,41,Yes,71,11,No,2021-03-12,No,Faisalabad,Full-Time,9,14,0,202.101
62,42.0,Male,Finance,Accountant,13,PhD,207498.0,5,6.0,Yes,46,Yes,44,15,No,2019-12-13,No,Rawalpindi,Full-Time,4,0,0,207.498
63,48.0,Female,Finance,Accountant,21,Master,192739.0,5,6.0,Yes,36,Yes,47,8,Yes,2021-11-12,No,Peshawar,Contract,10,12,0,192.739
64,56.0,Female,Sales,Sales Executive,12,Master,224647.0,3,3.0,Yes,40,Yes,9,15,No,2024-03-27,Yes,Karachi,Contract,4,15,1,224.647
65,46.0,Female,HR,HR Executive,6,Bachelor,129796.0,3,4.0,Yes,35,No,57,6,No,2023-03-27,Yes,Islamabad,Full-Time,8,12,1,129.796
66,52.0,Male,HR,Recruiter,24,Bachelor,190600.0,4,8.0,No,54,Yes,69,14,Yes,2015-01-11,No,Lahore,Full-Time,5,14,0,190.6
67,50.0,Male,IT,Software Engineer,26,Master,218925.0,5,9.0,No,49,Yes,16,13,No,2012-01-28,No,Faisalabad,Full-Time,7,9,0,218.925
68,33.0,Female,Finance,Financial Analyst,3,Bachelor,85002.0,2,4.0,Yes,53,No,10,6,No,2016-04-29,Yes,Faisalabad,Contract,9,7,1,85.002
69,26.0,Male,Marketing,SEO Executive,3,Master,82082.0,1,7.0,No,45,No,26,3,No,2015-08-11,No,Faisalabad,Full-Time,8,8,0,82.082
70,51.0,Male,Marketing,Marketing Specialist,2,PhD,52489.0,4,6.0,No,41,Yes,6,2,Yes,2014-10-04,No,Peshawar,Contract,10,8,0,52.489
71,53.0,Female,Finance,Financial Analyst,4,Bachelor,119197.5,2,7.0,Yes,43,Yes,7,6,No,2025-09-27,Yes,Faisalabad,Full-Time,7,3,1,119.1975
72,47.0,Male,IT,DevOps Engineer,2,PhD,45029.0,3,8.0,Yes,41,Yes,61,2,No,2024-09-27,No,Karachi,Contract,5,1,0,45.029
73,46.0,Female,Marketing,Marketing Specialist,14,Bachelor,156378.0,2,6.0,Yes,46,Yes,16,14,No,2016-04-25,No,Faisalabad,Full-Time,5,0,0,156.378
74,43.0,Male,IT,Software Engineer,21,PhD,162661.0,2,7.0,Yes,48,No,46,10,No,2021-06-05,No,Karachi,Full-Time,4,6,0,162.661
75,49.0,Male,HR,Recruiter,7,Bachelor,121192.0,1,9.0,No,55,Yes,54,7,No,2017-07-12,No,Karachi,Contract,7,6,0,121.192
76,39.0,Female,HR,HR Executive,1,Bachelor,49880.0,4,8.0,Yes,52,No,17,3,No,2025-04-24,No,Lahore,Contract,4,10,0,49.88
77,40.0,Female,HR,Recruiter,10,Master,101156.0,5,7.0,Yes,47,Yes,34,10,Yes,2018-06-24,No,Karachi,Contract,7,0,0,101.156
78,49.0,Male,Finance,Accountant,19,Bachelor,199089.0,3,10.0,No,39,Yes,9,15,No,2015-07-27,No,Karachi,Full-Time,5,7,0,199.089
79,30.0,Female,Sales,Sales Manager,5,PhD,91235.0,1,7.0,No,45,Yes,31,5,No,2015-04-18,No,Karachi,Contract,5,1,0,91.235
80,55.0,Female,HR,Recruiter,11,Master,158469.0,1,4.0,Yes,36,Yes,21,15,No,2020-01-06,No,Peshawar,Full-Time,5,2,0,158.469
81,37.0,Male,Marketing,Marketing Specialist,13,PhD,171516.0,2,8.0,Yes,40,No,41,11,No,2015-07-15,No,Rawalpindi,Contract,7,14,0,171.516
82,52.0,Male,HR,Recruiter,23,Master,211697.0,4,9.0,No,54,Yes,66,15,No,2020-05-12,No,Rawalpindi,Full-Time,8,0,0,211.697
83,60.0,Male,IT,Data Analyst,35,PhD,199866.0,3,7.0,No,44,No,14,15,No,2025-01-23,No,Lahore,Contract,7,10,0,199.866
84,31.0,Male,Sales,Sales Executive,0,Bachelor,56103.0,4,9.0,No,46,No,44,2,Yes,2017-08-02,No,Faisalabad,Contract,7,2,0,56.103
85,58.0,Male,IT,Data Analyst,12,Master,216795.0,3,9.0,No,36,No,36,15,No,2014-11-19,No,Islamabad,Contract,9,7,0,216.795
86,23.0,Male,IT,Data Analyst,1,PhD,48332.0,5,6.0,Yes,40,Yes,16,1,Yes,2026-07-23,No,Rawalpindi,Full-Time,8,12,0,48.332
87,49.0,Male,Marketing,Marketing Specialist,26,Master,215620.0,5,4.0,Yes,48,Yes,78,14,No,2019-03-28,No,Islamabad,Contract,6,11,0,215.62
88,41.0,Male,HR,Recruiter,5,Master,72288.0,5,8.0,No,55,No,26,6,Yes,2012-12-16,No,Karachi,Full-Time,7,5,0,72.288
89,53.0,Male,HR,HR Executive,32,Bachelor,174331.0,1,8.0,Yes,40,No,57,11,No,2012-04-20,No,Rawalpindi,Full-Time,9,14,0,174.331
90,32.0,Male,Marketing,Marketing Specialist,4,Bachelor,79068.0,3,3.0,Yes,53,No,67,3,No,2013-03-28,Yes,Rawalpindi,Full-Time,4,3,1,79.068
91,59.0,Male,Finance,Accountant,6,Bachelor,124619.0,5,8.0,No,43,No,48,10,No,2021-01-02,No,Faisalabad,Full-Time,10,13,0,124.619
92,37.0,Female,Finance,Financial Analyst,12,Master,196665.0,1,10.0,No,49,Yes,8,13,No,2023-06-23,No,Faisalabad,Full-Time,4,3,0,196.665
93,45.0,Female,Finance,Accountant,19,PhD,217490.0,2,8.0,No,55,Yes,51,14,No,2017-12-05,No,Peshawar,Contract,4,1,0,217.49
94,60.0,Female,Sales,Sales Executive,25,PhD,119197.5,4,10.0,No,38,No,29,14,Yes,2012-07-19,No,Faisalabad,Full-Time,9,4,0,119.1975
95,27.0,Female,HR,Recruiter,6,PhD,111013.0,1,7.0,Yes,52,Yes,32,9,No,2017-04-26,No,Faisalabad,Contract,7,5,0,111.013
96,49.0,Male,IT,Software Engineer,5,Master,77221.0,4,4.0,Yes,38,No,16,5,Yes,2026-07-15,No,Rawalpindi,Contract,9,10,0,77.221
97,46.0,Female,Finance,Financial Analyst,25,Bachelor,165163.0,1,7.0,No,37,Yes,19,12,No,2019-07-14,No,Lahore,Contract,4,11,0,165.163
98,58.0,Male,Finance,Financial Analyst,19,Bachelor,200875.0,3,7.0,Yes,46,Yes,18,14,No,2026-02-28,No,Faisalabad,Full-Time,10,12,0,200.875
99,31.0,Female,Sales,Sales Manager,3,Master,74830.0,2,8.0,No,36,No,69,5,No,2024-07-04,No,Peshawar,Contract,9,3,0,74.83
100,35.0,Female,Marketing,SEO Executive,4,PhD,96548.0,2,8.0,Yes,41,Yes,27,5,No,2011-10-07,No,Rawalpindi,Full-Time,10,15,0,96.548
101,32.0,Male,Sales,Sales Manager,8,Master,119197.5,3,8.0,No,47,Yes,72,9,No,2022-05-28,No,Islamabad,Contract,10,9,0,119.1975
102,28.0,Male,HR,Recruiter,5,PhD,84992.0,5,7.0,No,49,No,23,4,Yes,2021-10-27,No,Karachi,Contract,5,6,0,84.992
103,58.0,Male,IT,Data Analyst,9,Master,103691.0,3,7.0,Yes,40,Yes,70,6,No,2019-08-26,No,Rawalpindi,Full-Time,7,10,0,103.691
104,47.0,Male,Sales,Sales Executive,1,Bachelor,56011.0,5,8.0,No,55,Yes,64,2,No,2015-08-06,No,Lahore,Contract,5,12,0,56.011
105,29.0,Male,Finance,Accountant,1,Bachelor,40754.0,5,9.0,No,50,Yes,80,3,No,2021-03-17,No,Rawalpindi,Full-Time,8,5,0,40.754
106,58.0,Male,Sales,Sales Manager,6,Master,126563.0,4,7.0,No,52,Yes,71,6,Yes,2013-04-08,No,Karachi,Full-Time,8,3,0,126.563
107,22.0,Female,HR,HR Executive,1,Bachelor,58844.0,2,10.0,No,52,Yes,15,1,No,2018-02-12,No,Karachi,Full-Time,4,3,0,58.844
108,56.0,Male,Finance,Financial Analyst,27,PhD,189400.0,5,8.0,No,44,Yes,78,8,No,2018-05-26,No,Karachi,Full-Time,10,15,0,189.4
109,28.0,Male,Marketing,Marketing Specialist,3,Bachelor,79820.0,2,8.0,Yes,52,No,40,4,No,2025-11-25,No,Lahore,Full-Time,8,4,0,79.82
110,26.0,Female,Marketing,SEO Executive,2,Master,53109.0,1,8.0,Yes,48,Yes,14,2,No,2024-09-24,No,Peshawar,Full-Time,6,8,0,53.109
111,58.0,Male,HR,Recruiter,26,Bachelor,199668.0,5,10.0,No,37,Yes,73,8,No,2015-07-19,No,Islamabad,Contract,5,3,0,199.668
112,27.0,Female,IT,Data Analyst,2,Master,48966.0,1,10.0,No,42,Yes,20,1,No,2019-02-07,No,Lahore,Full-Time,7,5,0,48.966
113,28.0,Female,Finance,Financial Analyst,4,PhD,99378.0,2,6.0,Yes,47,No,73,3,No,2014-04-10,No,Islamabad,Full-Time,6,12,0,99.378
114,38.0,Male,Marketing,Marketing Specialist,16,PhD,168700.0,5,8.0,Yes,43,No,36,14,No,2025-04-14,No,Lahore,Full-Time,9,13,0,168.7
115,44.0,Female,HR,Recruiter,16,Master,218235.0,3,6.0,No,37,No,45,11,No,2024-08-26,No,Islamabad,Contract,9,2,0,218.235
116,37.0,Male,IT,DevOps Engineer,5,PhD,94360.0,5,10.0,No,35,Yes,66,5,Yes,2016-01-27,No,Karachi,Full-Time,7,15,0,94.36
117,34.0,Male,Sales,Sales Executive,11,Master,182011.0,5,4.0,Yes,40,Yes,14,8,No,2021-03-06,Yes,Peshawar,Contract,7,11,1,182.011
118,46.0,Male,Sales,Sales Manager,11,Bachelor,220663.0,3,10.0,No,50,No,32,9,No,2020-09-23,No,Islamabad,Full-Time,6,0,0,220.663
119,41.0,Male,Sales,Sales Executive,14,PhD,196628.0,5,8.0,No,45,No,18,8,Yes,2013-11-20,No,Rawalpindi,Full-Time,7,0,0,196.628
120,22.0,Male,Sales,Sales Manager,1,Master,57337.0,2,7.0,No,38,Yes,24,3,No,2023-01-12,No,Lahore,Full-Time,7,8,0,57.337
121,45.0,Female,Sales,Sales Manager,11,Master,164246.0,4,7.0,No,39,No,5,15,Yes,2019-09-08,No,Lahore,Contract,5,11,0,164.246
122,24.0,Male,HR,Recruiter,3,Master,99523.0,2,9.0,No,41,No,20,3,No,2023-04-11,No,Peshawar,Contract,9,13,0,99.523
123,30.0,Female,HR,SEO Executive,6,PhD,108612.0,1,8.0,Yes,35,Yes,49,6,No,2019-07-20,No,Peshawar,Contract,10,0,0,108.612
124,43.0,Female,HR,HR Executive,19,PhD,212939.0,3,7.0,No,37,Yes,24,12,No,2011-08-09,No,Karachi,Contract,7,5,0,212.939
125,38.0,Male,Finance,Accountant,13,Bachelor,241900.0,2,6.0,Yes,53,Yes,20,10,No,2016-06-16,No,Rawalpindi,Full-Time,10,4,0,241.9
126,34.0,Male,IT,Data Analyst,6,Bachelor,105959.0,4,9.0,No,51,Yes,33,6,No,2011-11-20,No,Faisalabad,Full-Time,7,10,0,105.959
127,49.0,Male,IT,DevOps Engineer,9,Bachelor,118386.0,4,3.0,Yes,45,Yes,10,8,No,2025-07-13,Yes,Islamabad,Contract,5,0,1,118.386
128,39.0,Male,Finance,Financial Analyst,13,Bachelor,197655.0,3,8.0,Yes,38,Yes,47,13,No,2024-10-10,No,Islamabad,Contract,4,11,0,197.655
129,37.0,Female,Finance,Financial Analyst,6,PhD,106970.0,5,3.0,Yes,36,Yes,62,7,No,2024-01-26,Yes,Rawalpindi,Full-Time,4,3,1,106.97
130,56.0,Male,Sales,Sales Executive,2,Bachelor,58038.0,3,9.0,No,52,No,62,3,No,2016-03-16,No,Lahore,Contract,10,3,0,58.038
131,48.0,Male,IT,Data Analyst,5,PhD,79491.0,5,7.0,No,41,No,73,3,No,2012-06-18,No,Islamabad,Full-Time,4,2,0,79.491
132,57.0,Female,Marketing,SEO Executive,25,PhD,174125.0,2,5.0,Yes,41,No,69,8,No,2024-10-06,No,Islamabad,Full-Time,8,8,0,174.125
133,39.0,Male,HR,Recruiter,5,Bachelor,79563.0,2,10.0,No,39,Yes,36,3,No,2025-10-19,No,Karachi,Full-Time,6,6,0,79.563
134,44.0,Female,IT,Software Engineer,10,Bachelor,147322.0,4,7.0,No,44,Yes,6,7,No,2012-11-17,No,Peshawar,Contract,8,11,0,147.322
135,23.0,Male,HR,Recruiter,2,PhD,61424.0,5,7.0,No,41,Yes,46,2,No,2018-11-19,No,Peshawar,Contract,8,8,0,61.424
136,36.0,Female,HR,Recruiter,11,Bachelor,215006.0,4,3.0,Yes,40,No,28,10,No,2012-08-19,Yes,Rawalpindi,Full-Time,5,9,1,215.006
137,40.0,Male,HR,Recruiter,4,Bachelor,78036.0,4,6.0,Yes,51,Yes,17,6,Yes,2023-01-02,No,Karachi,Contract,4,12,0,78.036
138,24.0,Male,IT,Software Engineer,1,Bachelor,60558.0,1,4.0,Yes,35,No,15,3,No,2023-01-31,Yes,Islamabad,Full-Time,10,6,1,60.558
139,32.0,Female,Marketing,SEO Executive,5,Master,71830.0,5,3.0,Yes,35,Yes,74,5,No,2013-07-09,Yes,Lahore,Full-Time,4,9,1,71.83
140,23.0,Male,IT,Software Engineer,1,Master,61474.0,2,4.0,Yes,47,No,26,2,No,2018-09-22,Yes,Lahore,Contract,9,3,1,61.474
141,26.0,Female,Finance,Financial Analyst,0,Master,59808.0,2,8.0,No,51,Yes,59,1,No,2019-11-04,No,Karachi,Full-Time,7,4,0,59.808
142,44.0,Male,Marketing,SEO Executive,8,Master,117393.0,1,6.0,Yes,39,No,23,6,No,2015-07-28,No,Peshawar,Contract,10,12,0,117.393
143,29.0,Female,Sales,Sales Executive,4,Bachelor,74179.0,4,10.0,No,45,No,66,4,No,2024-09-06,No,Karachi,Contract,6,13,0,74.179
144,46.0,Female,HR,HR Executive,17,Master,219792.0,4,8.0,No,53,Yes,16,11,Yes,2017-12-10,No,Faisalabad,Contract,4,7,0,219.792
145,45.0,Female,HR,HR Executive,4,Bachelor,81824.0,3,6.0,No,39,Yes,31,4,No,2014-10-09,No,Karachi,Contract,7,7,0,81.824
146,31.0,Female,HR,HR Executive,0,PhD,41772.0,1,4.0,Yes,53,No,25,3,No,2019-09-07,Yes,Rawalpindi,Contract,9,0,1,41.772
147,37.0,Male,HR,HR Executive,0,PhD,65081.0,4,9.0,No,39,No,57,1,Yes,2022-07-18,No,Rawalpindi,Full-Time,9,10,0,65.081
148,31.0,Male,Finance,Accountant,10,Bachelor,132983.0,1,7.0,No,48,No,78,7,No,2014-08-12,No,Faisalabad,Full-Time,7,9,0,132.983
149,39.0,Male,Sales,Sales Executive,16,Master,202481.0,2,8.0,Yes,40,No,66,8,No,2016-04-08,No,Lahore,Full-Time,7,10,0,202.481
150,32.0,Male,Sales,Sales Manager,5,PhD,78844.0,1,7.0,No,46,Yes,35,3,No,2026-07-10,No,Rawalpindi,Full-Time,4,9,0,78.844
151,26.0,Male,Marketing,Marketing Specialist,4,Bachelor,88077.0,1,3.0,Yes,43,Yes,77,4,No,2021-05-05,Yes,Islamabad,Full-Time,5,15,1,88.077
152,41.0,Male,Finance,Accountant,11,Master,191218.0,3,10.0,No,38,No,69,14,No,2018-03-02,No,Rawalpindi,Full-Time,5,3,0,191.218
153,59.0,Female,HR,HR Executive,30,PhD,171131.0,4,8.0,Yes,55,Yes,32,10,Yes,2019-05-11,No,Karachi,Contract,4,4,0,171.131
154,50.0,Male,Marketing,SEO Executive,10,Master,102622.0,2,3.0,Yes,54,Yes,77,9,No,2013-05-29,Yes,Islamabad,Contract,5,15,1,102.622
155,57.0,Male,HR,Recruiter,31,Bachelor,172245.0,2,7.0,No,43,No,16,12,No,2014-12-19,No,Rawalpindi,Contract,4,2,0,172.245
156,52.0,Female,Sales,Sales Manager,28,PhD,224545.0,1,8.0,No,44,No,21,15,No,2016-08-31,No,Lahore,Full-Time,6,14,0,224.545
157,45.0,Male,Marketing,SEO Executive,21,Master,184449.0,5,5.0,Yes,36,Yes,24,8,No,2020-06-02,No,Faisalabad,Contract,9,3,0,184.449
158,26.0,Male,HR,Recruiter,3,Master,81433.0,4,6.0,No,52,Yes,15,6,No,2015-01-17,No,Peshawar,Full-Time,9,5,0,81.433
159,47.0,Female,Sales,Sales Executive,2,Master,46967.0,4,9.0,No,43,Yes,74,3,Yes,2014-11-24,No,Islamabad,Contract,4,4,0,46.967
160,58.0,Male,HR,Recruiter,24,Bachelor,212050.0,1,6.0,No,35,No,37,11,No,2012-08-28,No,Islamabad,Contract,5,5,0,212.05
161,39.0,Female,HR,HR Executive,2,Master,68550.0,5,5.0,Yes,43,Yes,16,2,No,2021-01-22,No,Peshawar,Contract,5,13,0,68.55
162,44.0,Female,HR,HR Executive,15,Master,241316.0,3,6.0,No,53,Yes,76,14,No,2015-01-11,No,Faisalabad,Full-Time,9,6,0,241.316
163,42.0,Female,Marketing,Marketing Specialist,0,Bachelor,56365.0,1,9.0,No,48,Yes,62,2,No,2025-03-05,No,Rawalpindi,Full-Time,10,4,0,56.365
164,24.0,Male,Marketing,Marketing Specialist,1,Master,59691.0,2,3.0,Yes,41,Yes,52,2,No,2024-06-27,Yes,Peshawar,Full-Time,6,11,1,59.691
165,53.0,Female,Finance,Accountant,26,Master,221102.0,5,5.0,Yes,45,Yes,63,14,Yes,2012-08-28,No,Islamabad,Contract,10,13,0,221.102
166,56.0,Female,Marketing,Marketing Specialist,24,Master,233113.0,5,7.0,Yes,38,Yes,16,12,No,2015-03-02,No,Peshawar,Contract,10,0,0,233.113
167,56.0,Male,IT,Data Analyst,28,PhD,237518.0,4,9.0,No,42,No,19,12,Yes,2021-08-18,No,Faisalabad,Full-Time,5,6,0,237.518
