Age,Gender,Experience,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Manager_Rating,Sick_Leaves,Years_At_Company,Previous_Experience,Salary_Per_Experience,Workload_Score,Department_HR,Department_IT,Department_Marketing,Department_Sales,Job_Role_Data Analyst,Job_Role_DevOps Engineer,Job_Role_Financial Analyst,Job_Role_HR Executive,Job_Role_Marketing Specialist,Job_Role_Recruiter,Job_Role_SEO Executive,Job_Role_Sales Executive,Job_Role_Sales Manager,Job_Role_Software Engineer,Education_Master,Education_PhD,City_Islamabad,City_Karachi,City_Lahore,City_Peshawar,City_Rawalpindi,Employment_Type_Full-Time,Salary_Band_Medium,Salary_Band_High,Salary_Band_Very High,Experience_Band_Junior,Experience_Band_Mid Level,Experience_Band_Senior,Satisfaction_Category_Medium,Satisfaction_Category_High,Performance_Category_Average,Performance_Category_High
58.0,1,28,168660.0,5,9.0,0,42,0,10,13,No,5,0,9.3,18.7,6023.57,17.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1
25.0,1,2,51515.0,2,8.0,0,51,1,25,3,No,8,2,6.7,0.0,25757.5,8.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29.0,0,8,140006.0,3,8.0,0,45,0,39,10,No,9,7,2.6,5.4,17500.75,14.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0
51.0,1,0,59948.0,1,6.0,0,40,0,55,2,No,4,2,5.7,0.0,59948.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
50.0,0,11,200692.0,1,7.0,0,49,1,61,10,No,4,0,2.1,8.9,18244.73,14.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
44.0,0,2,66490.0,2,10.0,0,50,1,40,3,No,5,15,6.3,0.0,33245.0,8.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34.0,1,1,45586.0,2,8.0,1,53,1,80,3,No,9,4,4.4,0.0,45586.0,8.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.0,0,16,238864.0,5,8.0,0,43,1,59,8,No,8,1,14.3,1.7,14929.0,12.3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
29.0,1,7,147265.0,1,7.0,0,48,0,5,7,No,6,12,11.6,0.0,21037.86,11.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
58.0,0,14,182765.0,2,6.0,1,44,1,8,11,No,6,15,10.7,3.3,13054.64,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
43.0,1,7,122334.0,3,7.0,1,42,0,17,6,No,8,14,13.8,0.0,17476.29,10.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
25.0,0,3,95645.0,1,3.0,1,49,0,60,4,No,10,2,11.5,0.0,31881.67,8.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
25.0,1,3,77638.0,4,9.0,0,49,1,48,3,No,7,0,13.5,0.0,25879.33,7.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
28.0,0,0,59427.0,5,10.0,0,55,0,58,1,No,5,15,10.8,0.0,59427.0,6.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
30.0,0,0,56814.0,3,7.0,1,53,1,65,3,No,6,9,5.5,0.0,56814.0,8.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45.0,0,16,157512.0,5,4.0,1,52,0,49,11,Yes,10,6,9.5,6.5,9844.5,16.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
52.0,1,21,230753.0,4,4.0,1,40,0,10,12,Yes,6,15,9.5,11.5,10988.24,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
51.0,0,7,148501.0,2,5.0,1,40,0,6,9,No,7,2,11.9,0.0,21214.43,13.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
29.0,0,4,71438.0,2,5.0,1,44,1,38,3,No,5,5,11.0,0.0,17859.5,7.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
33.0,0,0,40687.0,2,6.0,1,55,0,31,3,No,7,9,1.0,0.0,40687.0,8.5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
45.0,0,16,165531.0,2,7.0,1,41,0,52,10,No,10,10,5.3,10.7,10345.69,14.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
24.0,0,2,41745.0,3,10.0,0,39,1,15,3,No,10,15,5.9,0.0,20872.5,6.9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
54.0,1,32,352095.375,3,10.0,0,50,0,39,13,No,8,12,12.4,19.6,11002.98,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
36.0,0,14,190107.0,4,7.0,0,40,0,75,14,Yes,8,2,4.1,9.9,13579.07,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
55.0,1,14,217143.0,4,8.0,0,49,0,52,13,No,7,15,12.6,1.4,15510.21,17.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
33.0,1,3,81766.0,3,3.0,1,51,0,34,3,No,10,3,9.3,0.0,27255.33,8.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0
56.0,0,21,182771.0,3,5.0,1,54,0,6,12,No,5,9,0.2,20.8,8703.38,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
47.0,0,15,202101.0,2,9.0,0,41,1,71,11,No,9,14,5.4,9.6,13473.4,15.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
42.0,0,13,207498.0,5,6.0,1,46,1,44,15,No,4,0,6.7,6.3,15961.38,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
48.0,1,21,192739.0,5,6.0,1,36,1,47,8,Yes,10,12,4.7,16.3,9178.05,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
56.0,1,12,224647.0,3,3.0,1,40,1,9,15,No,4,15,2.4,9.6,18720.58,19.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
46.0,1,6,129796.0,3,4.0,1,35,0,57,6,No,8,12,3.4,2.6,21632.67,9.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
52.0,0,24,190600.0,4,8.0,0,54,1,69,14,Yes,5,14,11.6,12.4,7941.67,19.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
50.0,0,26,218925.0,5,9.0,0,49,1,16,13,No,7,9,14.5,11.5,8420.19,17.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
33.0,1,3,85002.0,2,4.0,1,53,0,10,6,No,9,7,10.3,0.0,28334.0,11.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
26.0,0,3,82082.0,1,7.0,0,45,0,26,3,No,8,8,11.0,0.0,27360.67,7.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
51.0,0,2,52489.0,4,6.0,0,41,1,6,2,Yes,10,8,11.8,0.0,26244.5,6.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
53.0,1,4,119197.5,2,7.0,1,43,1,7,6,No,7,3,0.9,3.1,29799.38,10.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
47.0,0,2,45029.0,3,8.0,1,41,1,61,2,No,5,1,1.9,0.1,22514.5,6.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
46.0,1,14,156378.0,2,6.0,1,46,1,16,14,No,5,0,10.3,3.7,11169.86,18.6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
43.0,0,21,162661.0,2,7.0,1,48,0,46,10,No,4,6,5.2,15.8,7745.76,14.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0
49.0,0,7,121192.0,1,9.0,0,55,1,54,7,No,7,6,9.1,0.0,17313.14,12.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
39.0,1,1,49880.0,4,8.0,1,52,0,17,3,No,4,10,1.3,0.0,49880.0,8.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
40.0,1,10,101156.0,5,7.0,1,47,1,34,10,Yes,7,0,8.1,1.9,10115.6,14.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
49.0,0,19,199089.0,3,10.0,0,39,1,9,15,No,5,7,11.0,8.0,10478.37,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0
30.0,1,5,91235.0,1,7.0,0,45,1,31,5,No,5,1,11.3,0.0,18247.0,9.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
55.0,1,11,158469.0,1,4.0,1,36,1,21,15,No,5,2,6.6,4.4,14406.27,18.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
37.0,0,13,171516.0,2,8.0,1,40,0,41,11,No,7,14,11.1,1.9,13193.54,15.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
52.0,0,23,211697.0,4,9.0,0,54,1,66,15,No,8,0,6.2,16.8,9204.22,20.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
60.0,0,35,199866.0,3,7.0,0,44,0,14,15,No,7,10,1.5,33.5,5710.46,19.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
31.0,0,0,56103.0,4,9.0,0,46,0,44,2,Yes,7,2,9.0,0.0,56103.0,6.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
58.0,0,12,216795.0,3,9.0,0,36,0,36,15,No,9,7,11.7,0.3,18066.25,18.6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
23.0,0,1,48332.0,5,6.0,1,40,1,16,1,Yes,8,12,0.0,1.0,48332.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
49.0,0,26,215620.0,5,4.0,1,48,1,78,14,No,6,11,7.4,18.6,8293.08,18.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
41.0,0,5,72288.0,5,8.0,0,55,0,26,6,Yes,7,5,13.6,0.0,14457.6,11.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
53.0,0,32,174331.0,1,8.0,1,40,0,57,11,No,9,14,14.3,17.7,5447.84,15.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
32.0,0,4,79068.0,3,3.0,1,53,0,67,3,No,4,3,13.4,0.0,19767.0,8.3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0
59.0,0,6,124619.0,5,8.0,0,43,0,48,10,No,10,13,5.6,0.4,20769.83,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
37.0,1,12,196665.0,1,10.0,0,49,1,8,13,No,4,3,3.1,8.9,16388.75,17.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
45.0,1,19,217490.0,2,8.0,0,55,1,51,14,No,4,1,8.7,10.3,11446.84,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
60.0,1,25,119197.5,4,10.0,0,38,0,29,14,Yes,9,4,14.1,10.9,4767.9,17.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1
27.0,1,6,111013.0,1,7.0,1,52,1,32,9,No,7,5,9.3,0.0,18502.17,14.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
49.0,0,5,77221.0,4,4.0,1,38,0,16,5,Yes,9,10,0.1,4.9,15444.2,8.8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
46.0,1,25,165163.0,1,7.0,0,37,1,19,12,No,4,11,7.1,17.9,6606.52,15.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
58.0,0,19,200875.0,3,7.0,1,46,1,18,14,No,10,12,0.4,18.6,10572.37,18.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
31.0,1,3,74830.0,2,8.0,0,36,0,69,5,No,9,3,2.1,0.9,24943.33,8.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
35.0,1,4,96548.0,2,8.0,1,41,1,27,5,No,10,15,14.8,0.0,24137.0,9.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
32.0,0,8,119197.5,3,8.0,0,47,1,72,9,No,10,9,4.2,3.8,14899.69,13.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
28.0,0,5,84992.0,5,7.0,0,49,0,23,4,Yes,5,6,4.8,0.2,16998.4,8.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
58.0,0,9,103691.0,3,7.0,1,40,1,70,6,No,7,10,7.0,2.0,11521.22,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0
47.0,0,1,56011.0,5,8.0,0,55,1,64,2,No,5,12,11.0,0.0,56011.0,7.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
29.0,0,1,40754.0,5,9.0,0,50,1,80,3,No,8,5,5.4,0.0,40754.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
58.0,0,6,126563.0,4,7.0,0,52,1,71,6,Yes,8,3,13.3,0.0,21093.83,11.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
22.0,1,1,58844.0,2,10.0,0,52,1,15,1,No,4,3,8.5,0.0,58844.0,6.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
56.0,0,27,189400.0,5,8.0,0,44,1,78,8,No,10,15,8.2,18.8,7014.81,12.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
28.0,0,3,79820.0,2,8.0,1,52,0,40,4,No,8,4,0.7,2.3,26606.67,9.2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0
26.0,1,2,53109.0,1,8.0,1,48,1,14,2,No,6,8,1.9,0.1,26554.5,6.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
58.0,0,26,199668.0,5,10.0,0,37,1,73,8,No,5,3,11.1,14.9,7679.54,11.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
27.0,1,2,48966.0,1,10.0,0,42,1,20,1,No,7,5,7.5,0.0,24483.0,5.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
