Employee_ID,Age,Gender,Department,Job_Role,Experience,Education,Salary,Performance_Score,Job_Satisfaction,Overtime,Work_Hours,Remote_Work,Training_Hours,Projects,Promotion_Last_5Yrs,Joining_Date,Attrition,City,Employment_Type,Manager_Rating,Sick_Leaves
24,49,Female,Finance,Financial Analyst,22,Master,171344,5,7,No,50,Yes,70,10,No,2025-12-14,No,Peshawar,Contract,5,3
25,32,Female,Sales,Sales Executive,1,PhD,43960,5,5,Yes,36,Yes,52,2,No,2016-08-23,No,Rawalpindi,Full-Time,6,9
26,23,Male,Finance,Financial Analyst,0,PhD,69302,3,6,No,40,Yes,20,2,No,2012-12-26,No,Rawalpindi,Full-Time,5,11
27,52,Female,IT,Data Analyst,28,Master,244376,2,8,No,55,No,62,10,No,2013-01-16,No,Rawalpindi,Contract,8,4
28,48,Female,IT,DevOps Engineer,7,Master,143938,3,7,Yes,37,Yes,78,9,No,2024-04-22,No,Islamabad,Full-Time,9,9
29,57,Male,IT,DevOps Engineer,12,PhD,224743,4,4,Yes,35,Yes,7,11,Yes,2020-08-25,No,Faisalabad,Full-Time,8,8
30,27,Female,Marketing,SEO Executive,3,PhD,98245,3,9,No,40,Yes,72,3,No,2023-09-14,No,Karachi,Contract,7,10
31,29,Male,Finance,Accountant,8,Bachelor,111971,1,7,No,44,Yes,12,8,No,2022-07-17,No,Islamabad,Full-Time,5,10
32,25,Female,IT,DevOps Engineer,3,Bachelor,83527,3,6,Yes,38,Yes,35,5,No,2019-08-21,No,Islamabad,Full-Time,7,7
33,29,Female,Marketing,SEO Executive,0,Master,42144,1,4,Yes,55,Yes,39,2,No,2026-03-11,No,Rawalpindi,Contract,7,3
34,58,Female,HR,Recruiter,28,Bachelor,168660,5,9,No,42,No,10,13,No,2017-04-09,No,Peshawar,Full-Time,5,0
35,25,Female,HR,HR Executive,2,PhD,51515,2,8,No,51,Yes,25,3,No,2019-11-16,No,Islamabad,Contract,8,2
36,29,Male,IT,Data Analyst,8,Master,140006,3,8,No,45,No,39,10,No,2024-01-14,No,Rawalpindi,Full-Time,9,7
37,51,Female,Finance,Accountant,0,PhD,59948,1,6,No,40,No,55,2,No,2020-11-14,No,Lahore,Full-Time,4,2
38,50,Male,Marketing,Marketing Specialist,11,Master,200692,1,7,No,49,Yes,61,10,No,2024-07-09,No,Faisalabad,Contract,4,0
39,44,Male,IT,Data Analyst,2,PhD,66490,2,10,No,50,Yes,40,3,No,2020-04-03,No,Peshawar,Contract,5,15
40,34,Female,HR,HR Executive,1,Master,45586,2,8,Yes,53,Yes,80,3,No,2022-03-01,No,Faisalabad,Contract,9,4
41,38,Male,IT,Software Engineer,16,PhD,238864,5,8,No,43,Yes,59,8,No,2012-04-13,No,Islamabad,Full-Time,8,1
42,29,Female,Sales,Sales Manager,7,Master,147265,1,7,No,48,No,5,7,No,2015-01-05,No,Faisalabad,Full-Time,6,12
43,58,Male,Finance,Accountant,14,PhD,182765,2,6,Yes,44,Yes,8,11,No,2015-12-08,No,Rawalpindi,Full-Time,6,15
44,43,Female,IT,DevOps Engineer,7,Bachelor,122334,3,7,Yes,42,No,17,6,No,2012-10-16,No,Rawalpindi,Full-Time,8,14
45,25,Male,IT,Software Engineer,3,Master,95645,1,3,Yes,49,No,60,4,No,2015-02-01,No,Peshawar,Full-Time,10,2
46,25,Female,IT,DevOps Engineer,3,Master,77638,4,9,No,49,Yes,48,3,No,2013-02-09,No,Karachi,Contract,7,0
47,28,Male,Marketing,Marketing Specialist,0,PhD,59427,5,10,No,55,No,58,1,No,2015-10-07,No,Peshawar,Full-Time,5,15
48,30,Male,HR,HR Executive,0,Bachelor,56814,3,7,Yes,53,Yes,65,3,No,2021-02-16,No,Islamabad,Contract,6,9
49,45,Male,Finance,Financial Analyst,16,PhD,157512,5,4,Yes,52,No,49,11,Yes,2017-01-24,Yes,Peshawar,Full-Time,10,6
50,52,Female,Finance,Accountant,21,PhD,230753,4,4,Yes,40,No,10,12,Yes,2017-02-23,No,Faisalabad,Contract,6,15
51,51,Male,HR,HR Executive,7,Master,148501,2,5,Yes,40,No,6,9,No,2014-09-26,No,Peshawar,Contract,7,2
52,29,Male,IT,DevOps Engineer,4,Master,71438,2,5,Yes,44,Yes,38,3,No,2015-08-07,No,Lahore,Contract,5,5
53,33,Male,Marketing,Marketing Specialist,0,Bachelor,40687,2,6,Yes,55,No,31,3,No,2025-08-23,No,Islamabad,Full-Time,7,9
54,45,Male,HR,Recruiter,16,PhD,165531,2,7,Yes,41,No,52,10,No,2021-04-25,No,Rawalpindi,Full-Time,10,10
55,24,Male,Sales,Sales Executive,2,Bachelor,41745,3,10,No,39,Yes,15,3,No,2020-09-24,No,Islamabad,Full-Time,10,15
56,54,Female,IT,Software Engineer,32,Master,173461,3,10,No,50,No,39,13,No,2014-02-28,No,Rawalpindi,Contract,8,12
57,36,Male,IT,Software Engineer,14,Bachelor,190107,4,7,No,40,No,75,14,Yes,2022-07-13,No,Rawalpindi,Full-Time,8,2
58,55,Female,Finance,Financial Analyst,14,PhD,217143,4,8,No,49,No,52,13,No,2014-01-17,No,Karachi,Contract,7,15
59,33,Female,Sales,Sales Executive,3,Master,81766,3,3,Yes,51,No,34,3,No,2017-04-15,Yes,Peshawar,Full-Time,10,3
60,56,Male,Finance,Accountant,21,Bachelor,182771,3,5,Yes,54,No,6,12,No,2026-06-09,No,Peshawar,Contract,5,9
61,47,Male,Finance,Financial Analyst,15,PhD,202101,2,9,No,41,Yes,71,11,No,2021-03-12,No,Faisalabad,Full-Time,9,14
62,42,Male,Finance,Accountant,13,PhD,207498,5,6,Yes,46,Yes,44,15,No,2019-12-13,No,Rawalpindi,Full-Time,4,0
63,48,Female,Finance,Accountant,21,Master,192739,5,6,Yes,36,Yes,47,8,Yes,2021-11-12,No,Peshawar,Contract,10,12
64,56,Female,Sales,Sales Executive,12,Master,224647,3,3,Yes,40,Yes,9,15,No,2024-03-27,Yes,Karachi,Contract,4,15
65,46,Female,HR,HR Executive,6,Bachelor,129796,3,4,Yes,35,No,57,6,No,2023-03-27,Yes,Islamabad,Full-Time,8,12
66,52,Male,HR,Recruiter,24,Bachelor,190600,4,8,No,54,Yes,69,14,Yes,2015-01-11,No,Lahore,Full-Time,5,14
67,50,Male,IT,Software Engineer,26,Master,218925,5,9,No,49,Yes,16,13,No,2012-01-28,No,Faisalabad,Full-Time,7,9
68,33,Female,Finance,Financial Analyst,3,Bachelor,85002,2,4,Yes,53,No,10,6,No,2016-04-29,Yes,Faisalabad,Contract,9,7
69,26,Male,Marketing,SEO Executive,3,Master,82082,1,7,No,45,No,26,3,No,2015-08-11,No,Faisalabad,Full-Time,8,8
70,51,Male,Marketing,Marketing Specialist,2,PhD,52489,4,6,No,41,Yes,6,2,Yes,2014-10-04,No,Peshawar,Contract,10,8
71,53,Female,Finance,Financial Analyst,4,Bachelor,93382,2,4,Yes,43,Yes,7,6,No,2025-09-27,Yes,Faisalabad,Full-Time,7,3
72,47,Male,IT,DevOps Engineer,2,PhD,45029,3,8,Yes,41,Yes,61,2,No,2024-09-27,No,Karachi,Contract,5,1
73,46,Female,Marketing,Marketing Specialist,14,Bachelor,156378,2,6,Yes,46,Yes,16,14,No,2016-04-25,No,Faisalabad,Full-Time,5,0
74,43,Male,IT,Software Engineer,21,PhD,162661,2,7,Yes,48,No,46,10,No,2021-06-05,No,Karachi,Full-Time,4,6
75,49,Male,HR,Recruiter,7,Bachelor,121192,1,9,No,55,Yes,54,7,No,2017-07-12,No,Karachi,Contract,7,6
76,39,Female,HR,HR Executive,1,Bachelor,49880,4,8,Yes,52,No,17,3,No,2025-04-24,No,Lahore,Contract,4,10
77,33,Female,HR,Recruiter,10,Master,101156,5,7,Yes,47,Yes,34,10,Yes,2018-06-24,No,Karachi,Contract,7,0
78,49,Male,Finance,Accountant,19,Bachelor,199089,3,10,No,39,Yes,9,15,No,2015-07-27,No,Karachi,Full-Time,5,7
79,30,Female,Sales,Sales Manager,5,PhD,91235,1,7,No,45,Yes,31,5,No,2015-04-18,No,Karachi,Contract,5,1
80,55,Female,HR,Recruiter,11,Master,158469,1,4,Yes,36,Yes,21,15,No,2020-01-06,No,Peshawar,Full-Time,5,2
81,37,Male,Marketing,Marketing Specialist,13,PhD,171516,2,8,Yes,40,No,41,11,No,2015-07-15,No,Rawalpindi,Contract,7,14
82,52,Male,HR,Recruiter,23,Master,211697,4,9,No,54,Yes,66,15,No,2020-05-12,No,Rawalpindi,Full-Time,8,0
83,60,Male,IT,Data Analyst,35,PhD,199866,3,7,No,44,No,14,15,No,2025-01-23,No,Lahore,Contract,7,10
84,31,Male,Sales,Sales Executive,0,Bachelor,56103,4,9,No,46,No,44,2,Yes,2017-08-02,No,Faisalabad,Contract,7,2
85,58,Male,IT,Data Analyst,12,Master,216795,3,9,No,36,No,36,15,No,2014-11-19,No,Islamabad,Contract,9,7
86,23,Male,IT,Data Analyst,1,PhD,48332,5,6,Yes,40,Yes,16,1,Yes,2026-07-23,No,Rawalpindi,Full-Time,8,12
87,49,Male,Marketing,Marketing Specialist,26,Master,215620,5,4,Yes,48,Yes,78,14,No,2019-03-28,No,Islamabad,Contract,6,11
88,41,Male,HR,Recruiter,5,Master,72288,5,8,No,55,No,26,6,Yes,2012-12-16,No,Karachi,Full-Time,7,5
89,53,Male,HR,HR Executive,32,Bachelor,174331,1,8,Yes,40,No,57,11,No,2012-04-20,No,Rawalpindi,Full-Time,9,14
90,32,Male,Marketing,Marketing Specialist,4,Bachelor,79068,3,3,Yes,53,No,67,3,No,2013-03-28,Yes,Rawalpindi,Full-Time,4,3
91,59,Male,Finance,Accountant,6,Bachelor,124619,5,8,No,43,No,48,10,No,2021-01-02,No,Faisalabad,Full-Time,10,13
92,37,Female,Finance,Financial Analyst,12,Master,196665,1,10,No,49,Yes,8,13,No,2023-06-23,No,Faisalabad,Full-Time,4,3
93,45,Female,Finance,Accountant,19,PhD,217490,2,8,No,55,Yes,51,14,No,2017-12-05,No,Peshawar,Contract,4,1
94,60,Female,Sales,Sales Executive,25,PhD,195656,4,10,No,38,No,29,14,Yes,2012-07-19,No,Faisalabad,Full-Time,9,4
95,27,Female,HR,Recruiter,6,PhD,111013,1,8,Yes,52,Yes,32,9,No,2017-04-26,No,Faisalabad,Contract,7,5
96,49,Male,IT,Software Engineer,5,Master,77221,4,4,Yes,38,No,16,5,Yes,2026-07-15,No,Rawalpindi,Contract,9,10
97,46,Female,Finance,Financial Analyst,25,Bachelor,165163,1,7,No,37,Yes,19,12,No,2019-07-14,No,Lahore,Contract,4,11
98,58,Male,Finance,Financial Analyst,19,Bachelor,200875,3,3,Yes,46,Yes,18,14,No,2026-02-28,No,Faisalabad,Full-Time,10,12
99,31,Female,Sales,Sales Manager,3,Master,74830,2,8,No,36,No,69,5,No,2024-07-04,No,Peshawar,Contract,9,3
100,35,Female,Marketing,SEO Executive,4,PhD,96548,2,8,Yes,41,Yes,27,5,No,2011-10-07,No,Rawalpindi,Full-Time,10,15
101,32,Male,Sales,Sales Manager,8,Master,144426,3,8,No,47,Yes,72,9,No,2022-05-28,No,Islamabad,Contract,10,9
102,28,Male,HR,Recruiter,5,PhD,84992,5,7,No,49,No,23,4,Yes,2021-10-27,No,Karachi,Contract,5,6
103,58,Male,IT,Data Analyst,9,Master,103691,3,7,Yes,40,Yes,70,6,No,2019-08-26,No,Rawalpindi,Full-Time,7,10
104,47,Male,Sales,Sales Executive,1,Bachelor,56011,5,8,No,55,Yes,64,2,No,2015-08-06,No,Lahore,Contract,5,12
105,29,Male,Finance,Accountant,1,Bachelor,40754,5,9,No,50,Yes,80,3,No,2021-03-17,No,Rawalpindi,Full-Time,8,5
106,58,Male,Sales,Sales Manager,6,Master,126563,4,7,No,52,Yes,71,6,Yes,2013-04-08,No,Karachi,Full-Time,8,3
107,22,Female,HR,HR Executive,1,Bachelor,58844,2,10,No,52,Yes,15,1,No,2018-02-12,No,Karachi,Full-Time,4,3
108,56,Male,Finance,Financial Analyst,27,PhD,189400,5,8,No,44,Yes,78,8,No,2018-05-26,No,Karachi,Full-Time,10,15
109,28,Male,Marketing,Marketing Specialist,3,Bachelor,79820,2,8,Yes,52,No,40,4,No,2025-11-25,No,Lahore,Full-Time,8,4
110,26,Female,Marketing,SEO Executive,2,Master,53109,1,8,Yes,48,Yes,14,2,No,2024-09-24,No,Peshawar,Full-Time,6,8
111,58,Male,HR,Recruiter,26,Bachelor,199668,5,10,No,37,Yes,73,8,No,2015-07-19,No,Islamabad,Contract,5,3
112,27,Female,IT,Data Analyst,2,Master,48966,1,10,No,42,Yes,20,1,No,2019-02-07,No,Lahore,Full-Time,7,5
113,28,Female,Finance,Financial Analyst,4,PhD,99378,2,6,Yes,47,No,73,3,No,2014-04-10,No,Islamabad,Full-Time,6,12
114,38,Male,Marketing,Marketing Specialist,16,PhD,168700,5,8,Yes,43,No,36,14,No,2025-04-14,No,Lahore,Full-Time,9,13
115,44,Female,HR,Recruiter,16,Master,218235,3,6,No,37,No,45,11,No,2024-08-26,No,Islamabad,Contract,9,2
116,37,Male,IT,DevOps Engineer,5,PhD,94360,5,10,No,35,Yes,66,5,Yes,2016-01-27,No,Karachi,Full-Time,7,15
117,34,Male,Sales,Sales Executive,11,Master,182011,5,4,Yes,40,Yes,14,8,No,2021-03-06,Yes,Peshawar,Contract,7,11
118,46,Male,Sales,Sales Manager,11,Bachelor,220663,3,10,No,50,No,32,9,No,2020-09-23,No,Islamabad,Full-Time,6,0
119,41,Male,Sales,Sales Executive,14,PhD,196628,5,8,No,45,No,18,8,Yes,2013-11-20,No,Rawalpindi,Full-Time,7,0
120,22,Male,Sales,Sales Manager,1,Master,57337,2,7,No,38,Yes,24,3,No,2023-01-12,No,Lahore,Full-Time,7,8
121,45,Female,Sales,Sales Manager,11,Master,164246,4,7,No,39,No,5,15,Yes,2019-09-08,No,Lahore,Contract,5,11
122,24,Male,HR,Recruiter,3,Master,99523,2,9,No,41,No,20,3,No,2023-04-11,No,Peshawar,Contract,9,13
123,30,Female,Marketing,SEO Executive,6,PhD,108612,1,8,Yes,35,Yes,49,6,No,2019-07-20,No,Peshawar,Contract,10,0
124,43,Female,HR,HR Executive,19,PhD,212939,3,7,No,37,Yes,24,12,No,2011-08-09,No,Karachi,Contract,7,5
125,38,Male,Finance,Accountant,13,Bachelor,241900,2,6,Yes,53,Yes,20,10,No,2016-06-16,No,Rawalpindi,Full-Time,10,4
126,34,Male,IT,Data Analyst,6,Bachelor,105959,4,9,No,51,Yes,33,6,No,2011-11-20,No,Faisalabad,Full-Time,7,10
127,49,Male,IT,DevOps Engineer,9,Bachelor,118386,4,3,Yes,45,Yes,10,8,No,2025-07-13,Yes,Islamabad,Contract,5,0
128,39,Male,Finance,Financial Analyst,13,Bachelor,197655,3,8,Yes,38,Yes,47,13,No,2024-10-10,No,Islamabad,Contract,4,11
129,37,Female,Finance,Financial Analyst,6,PhD,106970,5,3,Yes,36,Yes,62,7,No,2024-01-26,Yes,Rawalpindi,Full-Time,4,3
130,56,Male,Sales,Sales Executive,2,Bachelor,58038,3,9,No,52,No,62,3,No,2016-03-16,No,Lahore,Contract,10,3
131,48,Male,IT,Data Analyst,5,PhD,79491,5,7,No,41,No,73,3,No,2012-06-18,No,Islamabad,Full-Time,4,2
132,57,Female,Marketing,SEO Executive,25,PhD,174125,2,5,Yes,41,No,69,8,No,2024-10-06,No,Islamabad,Full-Time,8,8
133,39,Male,HR,Recruiter,5,Bachelor,79563,2,10,No,39,Yes,36,3,No,2025-10-19,No,Karachi,Full-Time,6,6
134,44,Female,IT,Software Engineer,10,Bachelor,147322,4,7,No,44,Yes,6,7,No,2012-11-17,No,Peshawar,Contract,8,11
135,23,Male,HR,Recruiter,2,PhD,61424,5,7,No,41,Yes,46,2,No,2018-11-19,No,Peshawar,Contract,8,8
136,36,Female,HR,Recruiter,11,Bachelor,215006,4,3,Yes,40,No,28,10,No,2012-08-19,Yes,Rawalpindi,Full-Time,5,9
137,60,Male,HR,Recruiter,4,Bachelor,78036,4,6,Yes,51,Yes,17,6,Yes,2023-01-02,No,Karachi,Contract,4,12
138,24,Male,IT,Software Engineer,1,Bachelor,60558,1,4,Yes,35,No,15,3,No,2023-01-31,Yes,Islamabad,Full-Time,10,6
139,32,Female,Marketing,SEO Executive,5,Master,71830,5,3,Yes,35,Yes,74,5,No,2013-07-09,Yes,Lahore,Full-Time,4,9
140,23,Male,IT,Software Engineer,1,Master,61474,2,4,Yes,47,No,26,2,No,2018-09-22,Yes,Lahore,Contract,9,3
141,26,Female,Finance,Financial Analyst,0,Master,59808,2,8,No,51,Yes,59,1,No,2019-11-04,No,Karachi,Full-Time,7,4
142,44,Male,Marketing,SEO Executive,8,Master,117393,1,6,Yes,39,No,23,6,No,2015-07-28,No,Peshawar,Contract,10,12
143,29,Female,Sales,Sales Executive,4,Bachelor,74179,4,10,No,45,No,66,4,No,2024-09-06,No,Karachi,Contract,6,13
144,46,Female,HR,HR Executive,17,Master,219792,4,8,No,53,Yes,16,11,Yes,2017-12-10,No,Faisalabad,Contract,4,7
145,45,Female,HR,HR Executive,4,Bachelor,81824,3,6,No,39,Yes,31,4,No,2014-10-09,No,Karachi,Contract,7,7
146,31,Female,HR,HR Executive,0,PhD,41772,1,4,Yes,53,No,25,3,No,2019-09-07,Yes,Rawalpindi,Contract,9,0
147,37,Male,HR,HR Executive,0,PhD,65081,4,9,No,39,No,57,1,Yes,2022-07-18,No,Rawalpindi,Full-Time,9,10
148,31,Male,Finance,Accountant,10,Bachelor,132983,1,7,No,48,No,78,7,No,2014-08-12,No,Faisalabad,Full-Time,7,9
149,39,Male,Sales,Sales Executive,16,Master,202481,2,8,Yes,40,No,66,8,No,2016-04-08,No,Lahore,Full-Time,7,10
150,32,Male,Sales,Sales Manager,5,PhD,78844,1,7,No,46,Yes,35,3,No,2026-07-10,No,Rawalpindi,Full-Time,4,9
151,26,Male,Marketing,Marketing Specialist,4,Bachelor,88077,1,3,Yes,43,Yes,77,4,No,2021-05-05,Yes,Islamabad,Full-Time,5,15
152,41,Male,Finance,Accountant,11,Master,191218,3,10,No,38,No,69,14,No,2018-03-02,No,Rawalpindi,Full-Time,5,3
153,59,Female,HR,HR Executive,30,PhD,171131,4,8,Yes,55,Yes,32,10,Yes,2019-05-11,No,Karachi,Contract,4,4
154,50,Male,Marketing,SEO Executive,10,Master,102622,2,3,Yes,54,Yes,77,9,No,2013-05-29,Yes,Islamabad,Contract,5,15
155,57,Male,HR,Recruiter,31,Bachelor,172245,2,7,No,43,No,16,12,No,2014-12-19,No,Rawalpindi,Contract,4,2
156,52,Female,Sales,Sales Manager,28,PhD,224545,1,8,No,44,No,21,15,No,2016-08-31,No,Lahore,Full-Time,6,14
157,45,Male,Marketing,SEO Executive,21,Master,184449,5,5,Yes,36,Yes,24,8,No,2020-06-02,No,Faisalabad,Contract,9,3
158,26,Male,HR,Recruiter,3,Master,81433,4,6,No,52,Yes,15,6,No,2015-01-17,No,Peshawar,Full-Time,9,5
159,47,Female,Sales,Sales Executive,2,Master,46967,4,9,No,43,Yes,74,3,Yes,2014-11-24,No,Islamabad,Contract,4,4
160,58,Male,HR,Recruiter,24,Bachelor,212050,1,6,No,35,No,37,11,No,2012-08-28,No,Islamabad,Contract,5,5
161,39,Female,HR,HR Executive,2,Master,68550,5,5,Yes,43,Yes,16,2,No,2021-01-22,No,Peshawar,Contract,5,13
162,44,Female,HR,HR Executive,15,Master,241316,3,6,No,53,Yes,76,14,No,2015-01-11,No,Faisalabad,Full-Time,9,6
163,42,Female,Marketing,Marketing Specialist,0,Bachelor,56365,1,9,No,48,Yes,62,2,No,2025-03-05,No,Rawalpindi,Full-Time,10,4
164,24,Male,Marketing,Marketing Specialist,1,Master,59691,2,3,Yes,41,Yes,52,2,No,2024-06-27,Yes,Peshawar,Full-Time,6,11
165,53,Female,Finance,Accountant,26,Master,221102,5,5,Yes,45,Yes,63,14,Yes,2012-08-28,No,Islamabad,Contract,10,13
166,56,Female,Marketing,Marketing Specialist,24,Master,233113,5,7,Yes,38,Yes,16,12,No,2015-03-02,No,Peshawar,Contract,10,0
167,56,Male,IT,Data Analyst,28,PhD,237518,4,9,No,42,No,19,12,Yes,2021-08-18,No,Faisalabad,Full-Time,5,6
168,48,Female,Finance,Financial Analyst,0,Master,48769,3,3,Yes,48,Yes,58,3,No,2014-10-22,Yes,Lahore,Contract,6,1
169,55,Female,HR,Recruiter,21,Bachelor,181697,2,7,No,55,Yes,78,14,No,2013-07-30,No,Faisalabad,Contract,8,13
170,47,Female,Sales,Sales Executive,16,Bachelor,163051,5,8,No,55,No,75,10,Yes,2025-08-17,No,Rawalpindi,Full-Time,4,5
171,23,Female,IT,Software Engineer,0,PhD,40911,5,8,No,53,Yes,21,3,Yes,2020-02-28,No,Faisalabad,Full-Time,4,14
172,41,Male,HR,HR Executive,17,Bachelor,184141,3,7,Yes,39,Yes,19,8,No,2018-09-07,No,Peshawar,Contract,4,14
173,31,Female,IT,Software Engineer,4,Bachelor,86195,2,9,No,38,Yes,57,5,No,2023-05-13,No,Karachi,Full-Time,7,2
174,48,Female,IT,Software Engineer,10,PhD,111783,1,6,Yes,53,Yes,48,8,No,2023-09-16,No,Rawalpindi,Full-Time,5,11
175,32,Female,Marketing,Marketing Specialist,1,Bachelor,57562,5,3,Yes,39,No,19,1,No,2014-06-14,Yes,Faisalabad,Full-Time,8,6
176,30,Female,HR,HR Executive,4,Master,81421,4,7,No,50,No,29,5,Yes,2013-01-18,No,Lahore,Full-Time,9,8
177,28,Female,Finance,Financial Analyst,2,Bachelor,54203,4,7,No,43,Yes,54,2,No,2018-01-22,No,Peshawar,Contract,8,13
178,50,Male,Finance,Accountant,28,Bachelor,226922,3,7,No,55,No,8,14,No,2017-12-12,No,Faisalabad,Contract,8,3
179,33,Female,Finance,Financial Analyst,3,Bachelor,82188,3,9,No,35,Yes,47,4,No,2018-08-07,No,Lahore,Contract,4,6
180,36,Male,Marketing,SEO Executive,12,Master,219109,1,5,Yes,43,No,60,11,No,2022-07-13,No,Faisalabad,Full-Time,8,10
181,25,Female,HR,HR Executive,3,Bachelor,73907,4,8,No,54,No,35,3,Yes,2021-09-11,No,Islamabad,Contract,5,0
182,51,Female,Marketing,Marketing Specialist,4,Master,81055,1,8,No,38,No,40,3,No,2026-05-11,No,Karachi,Full-Time,7,10
183,57,Female,Sales,Sales Executive,31,PhD,189117,4,4,Yes,55,No,18,15,Yes,2013-01-26,Yes,Karachi,Contract,10,0
184,42,Female,HR,HR Executive,7,Bachelor,147455,5,8,No,36,Yes,19,8,Yes,2017-08-19,No,Karachi,Full-Time,4,1
185,46,Female,Finance,Financial Analyst,22,Bachelor,165715,3,10,No,39,No,20,10,No,2016-09-07,No,Lahore,Contract,10,7
186,39,Female,Sales,Sales Manager,15,Bachelor,188828,3,3,Yes,42,Yes,14,9,No,2024-07-09,Yes,Karachi,Contract,8,15
187,35,Female,IT,DevOps Engineer,13,Master,163701,2,10,No,53,No,63,13,No,2015-04-29,No,Lahore,Contract,10,4
188,36,Female,IT,Software Engineer,12,Master,202455,1,4,Yes,48,No,78,11,No,2014-06-13,Yes,Faisalabad,Full-Time,6,3
189,29,Male,IT,DevOps Engineer,0,Master,40936,5,8,No,46,Yes,75,2,No,2018-04-28,No,Lahore,Contract,7,2
190,47,Female,HR,HR Executive,16,Master,185728,1,7,No,55,No,29,13,No,2017-12-03,No,Karachi,Contract,4,9
191,60,Female,Sales,Sales Executive,33,PhD,164311,2,4,Yes,42,Yes,9,8,No,2015-10-10,Yes,Rawalpindi,Contract,4,8
192,39,Male,Marketing,Marketing Specialist,12,Master,178821,4,8,Yes,40,No,41,12,Yes,2015-05-05,No,Rawalpindi,Full-Time,5,9
193,54,Female,IT,Software Engineer,19,PhD,191302,2,9,No,45,Yes,6,9,No,2025-06-11,No,Lahore,Full-Time,5,15
194,33,Female,Finance,Accountant,1,Bachelor,59464,4,6,No,35,Yes,65,2,Yes,2018-03-29,No,Peshawar,Full-Time,8,3
195,36,Male,Marketing,SEO Executive,4,Bachelor,96341,4,9,No,46,No,37,5,Yes,2024-07-07,No,Karachi,Contract,7,11
196,43,Female,Finance,Financial Analyst,3,Master,74846,2,10,No,39,No,8,6,No,2019-11-07,No,Peshawar,Full-Time,9,7
